Affiliations	Record Count	% of 161
CTR GENOME REGULAT	1	0.621
CTR INVEST CIENT TECNOL MINERIA	1	0.621
CTR INVEST GEST INTEGRADA DESASTRES NAT CIGIDEN	1	0.621
CZECH ACADEMY OF SCIENCES	1	0.621
DELFT UNIVERSITY OF TECHNOLOGY	1	0.621
DEQM PUC RIO	1	0.621
DISCOVERER KETTY LUND EXPLORAT VESSEL	1	0.621
DURHAM UNIVERSITY	1	0.621
ECOLE NORMALE SUPERIEURE ENS	1	0.621
ESRI	1	0.621
ESRI FRANCE	1	0.621
EUROPEAN SOUTHERN OBSERVATORY	1	0.621
FACULTE DES SCIENCES DE TUNIS FST	1	0.621
FOLDGOMB FDN RES EXPEDIT	1	0.621
FRIEDRICH SCHILLER UNIVERSITY OF JENA	1	0.621
GEOLOGICAL SURVEY OF CANADA	1	0.621
GEORGE WASHINGTON UNIVERSITY	1	0.621
GEORGIA INSTITUTE OF TECHNOLOGY	1	0.621
GEOSCIENCE AUSTRALIA	1	0.621
GLOBAL CHANGE RESEARCH CENTRE OF THE CZECH ACADEMY OF SCIENCES	1	0.621
HASSAN II UNIVERSITY OF CASABLANCA	1	0.621
HEBREW UNIVERSITY OF JERUSALEM	1	0.621
HONEYBEE ROBOT	1	0.621
IEB	1	0.621
IEO	1	0.621
IFREMER	1	0.621
INST ECOL BIODIVERS IEB	1	0.621
INSTITUT DE PLANETOLOGIE ET D ASTROPHYSIQUE DE GRENOBLE IPAG	1	0.621
INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE LYON INSA LYON	1	0.621
INSTITUTE FOR GEOLOGICAL GEOCHEMICAL RESEARCH HAS	1	0.621
ISTITUTO DI BIOMETEOROLOGIA IBIMET CNR	1	0.621
ISTITUTO DI GEOSCIENZE E GEORISORSE IGG CNR	1	0.621
ISTITUTO NAZIONALE ASTROFISICA INAF	1	0.621
JAMES COOK UNIVERSITY	1	0.621
JAN KOCHANOWSKI UNIVERSITY	1	0.621
KORALL PRINT BT	1	0.621
LA VENTA ESPLORAZ GEOG	1	0.621
LANDS MINERALS SECTOR NATURAL RESOURCES CANADA	1	0.621
LEIDEN INST CHEM	1	0.621
LEIDEN MEASUREMENT TECHNOL LLC	1	0.621
LEIPZIG UNIVERSITY	1	0.621
LIGHTLOG INC	1	0.621
LOCKHEED MARTIN	1	0.621
LONDON METROPOLITAN UNIVERSITY	1	0.621
LOS ALAMOS NATIONAL LABORATORY	1	0.621
LOUISIANA STATE UNIVERSITY	1	0.621
LOUISIANA STATE UNIVERSITY SYSTEM	1	0.621
LUNAR PLANETARY INST	1	0.621
M G KHOLODNY INSTITUTE OF BOTANY NAS OF UKRAINE	1	0.621
MACAU UNIVERSITY OF SCIENCE TECHNOLOGY	1	0.621
MDA SPACE ROBOT LTD	1	0.621
MIGUEL LILLO FOUNDATION	1	0.621
MILLENNIUM INST ASTROPHYS	1	0.621
MILLENNIUM INST ASTROPHYS MAS	1	0.621
MILLENNIUM INST FUNDAMENTAL APPL BIOL MIFAB	1	0.621
MONTEREY BAY AQUARIUM RESEARCH INSTITUTE	1	0.621
NAT HIST MUSEUM	1	0.621
NATIONAL ACADEMY OF SCIENCES UKRAINE	1	0.621
NATIONAL OPTICAL ASTRONOMY OBSERVATORY	1	0.621
NATIONAL UNIVERSITY OF ROSARIO	1	0.621
NATURAL RESOURCES CANADA	1	0.621
NETSCAPE COMMUN CORP	1	0.621
NORTHERN ARIZONA UNIVERSITY	1	0.621
NSF NATL OPT INFRARED ASTRON RES LAB	1	0.621
OBSERVATOIRE DE LA COTE D AZUR	1	0.621
OKAYAMA UNIVERSITY	1	0.621
PEDAGOGICAL UNIVERSITY OF CRACOW	1	0.621
PEKING UNIVERSITY	1	0.621
PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION PCSHE	1	0.621
PENNSYLVANIA STATE UNIVERSITY	1	0.621
PENNSYLVANIA STATE UNIVERSITY UNIVERSITY PARK	1	0.621
PONTIFICAL CATHOLIC UNIVERSITY OF ARGENTINA	1	0.621
PONTIFICIA UNIVERSIDADE CATOLICA DO RIO DE JANEIRO	1	0.621
PORTLAND STATE UNIVERSITY	1	0.621
QUEENS UNIVERSITY CANADA	1	0.621
RHODES UNIVERSITY	1	0.621
RICE UNIVERSITY	1	0.621
ROKE MANOR RES	1	0.621
RUPRECHT KARLS UNIVERSITY HEIDELBERG	1	0.621
RWTH AACHEN UNIVERSITY	1	0.621
SA IPSL	1	0.621
SCIENCE TECHNOLOGY FACILITIES COUNCIL STFC	1	0.621
SCISYS	1	0.621
SERNAGEOMIN	1	0.621
SERV NACL GEOL MINERIA SERNAGEOMIN	1	0.621
SETI CARL SAGAN CTR	1	0.621
SII NANOTECHNOL INC	1	0.621
SOUTHERN MARINE SCI ENGN GUANGDONG LAB ZHUHAI	1	0.621
SOUTHWEST RESEARCH INSTITUTE	1	0.621
SSN COLLEGE OF ENGINEERING	1	0.621
STFC RUTHERFORD APPLETON LABORATORY	1	0.621
SUN YAT SEN UNIVERSITY	1	0.621
SW RES INST	1	0.621
TENNESSEE TECHNOLOGICAL UNIVERSITY	1	0.621
TOWSON UNIVERSITY	1	0.621
UBA CONICET	1	0.621
UBA CONICET CIUDAD BS	1	0.621
UNITED STATES DEPARTMENT OF ENERGY DOE	1	0.621
UNIV CATOLICA BOLIVIANA	1	0.621
UNIV TECNOL NACL	1	0.621
UNIVERSIDAD ADOLFO IBANEZ	1	0.621
UNIVERSIDAD ANTONIO DE NEBRIJA	1	0.621
UNIVERSIDAD AUSTRAL DE CHILE	1	0.621
UNIVERSIDAD CATOLICA DEL MAULE	1	0.621
UNIVERSIDAD DE ALCALA	1	0.621
UNIVERSIDAD DE ATACAMA	1	0.621
UNIVERSIDAD DE BURGOS	1	0.621
UNIVERSIDAD DE CONCEPCION	1	0.621
UNIVERSIDAD DE LA REPUBLICA URUGUAY	1	0.621
UNIVERSIDAD DE LA SERENA	1	0.621
UNIVERSIDAD DE VALLADOLID	1	0.621
UNIVERSIDAD MAYOR DE SAN ANDRES	1	0.621
UNIVERSIDAD NACIONAL DE TUCUMAN	1	0.621
UNIVERSIDAD REY JUAN CARLOS	1	0.621
UNIVERSIDAD SANTO TOMAS	1	0.621
UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI UFVJM	1	0.621
UNIVERSITA DI MODENA E REGGIO EMILIA	1	0.621
