Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Buch, A., Glavin, D.P., Sternberg, R., Szopa, C., Rodier, C., Navarro-González, R., Raulin, F., Cabane, M., Mahaffy, P.R.","7006786887;6602092157;57202530598;6603870152;25721910800;7003446002;7005084474;6701651591;6701365282;","A new extraction technique for in situ analyses of amino and carboxylic acids on Mars by gas chromatography mass spectrometry",2006,"Planetary and Space Science","54","15",,"1592","1599",,46,"10.1016/j.pss.2006.05.041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751257763&doi=10.1016%2fj.pss.2006.05.041&partnerID=40&md5=4276477581f53fa820ab1deb2a2fb823",Article,"Final","",Scopus,2-s2.0-33751257763
"Glavin, D.P., Cleaves, H.J., Buch, A., Schubert, M., Aubrey, A., Bada, J.L., Mahaffy, P.R.","6602092157;6602356238;7006786887;35293544600;6506562186;35450589900;6701365282;","Sublimation extraction coupled with gas chromatography-mass spectrometry: A new technique for future in situ analyses of purines and pyrimidines on Mars",2006,"Planetary and Space Science","54","15",,"1584","1591",,20,"10.1016/j.pss.2005.12.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750967887&doi=10.1016%2fj.pss.2005.12.023&partnerID=40&md5=3b1b9664906ce8c5165d8602b294fcf7",Article,"Final","",Scopus,2-s2.0-33750967887
"Del Valle Abascal, L., Bonorino, G.G.","37046032700;6602630967;","Kinematics of a translational/rotational landslide, Central Andes, Northwestern Argentina",2006,"Environmental and Engineering Geoscience","12","4",,"369","376",,2,"10.2113/gseegeosci.12.4.369","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248676294&doi=10.2113%2fgseegeosci.12.4.369&partnerID=40&md5=d6b56974e3948aecfda3cdbadfa6b89d",Article,"Final","",Scopus,2-s2.0-34248676294
"Ewing, S.A., Sutter, B., Owen, J., Nishiizumi, K., Sharp, W., Cliff, S.S., Perry, K., Dietrich, W., McKay, C.P., Amundson, R.","15044347400;7004859335;15045266600;7004197106;7102399779;7004124427;7201759986;7201810208;7101952183;7005994343;","A threshold in soil formation at Earth's arid-hyperarid transition",2006,"Geochimica et Cosmochimica Acta","70","21",,"5293","5322",,177,"10.1016/j.gca.2006.08.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750348978&doi=10.1016%2fj.gca.2006.08.020&partnerID=40&md5=9456d7110c9c60ee92e2281f611e28f8",Article,"Final","",Scopus,2-s2.0-33750348978
"Warren-Rhodes, K.A., Rhodes, K.L., Pointing, S.B., Ewing, S.A., Lacap, D.C., Gómez-Silva, B., Amundson, R., Friedmann, E.I., McKay, C.P.","6507272414;16426535600;6603986412;15044347400;9640383000;6506160677;7005994343;7006787912;7101952183;","Hypolithic cyanobacteria, dry limit of photosynthesis, and microbial ecology in the hyperarid Atacama Desert",2006,"Microbial Ecology","52","3",,"389","398",,230,"10.1007/s00248-006-9055-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746570778&doi=10.1007%2fs00248-006-9055-7&partnerID=40&md5=2fc9dde05571048bf3320e57253e2512",Article,"Final","",Scopus,2-s2.0-33746570778
"Bevan, A.W.R.","7005043148;","Desert meteorites: A history",2006,"Geological Society Special Publication","256",,,"325","343",,9,"10.1144/GSL.SP.2006.256.01.16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745886240&doi=10.1144%2fGSL.SP.2006.256.01.16&partnerID=40&md5=34286b1031bb54f553e2e27ada94ec50",Article,"Final","",Scopus,2-s2.0-33745886240
"Kumagai, J.","7006707410;","Halfway to Mars",2006,"IEEE Spectrum","43","3",,"38","43",,3,"10.1109/MSPEC.2006.1604839","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644985375&doi=10.1109%2fMSPEC.2006.1604839&partnerID=40&md5=f7f46bfddc1cdb47ffa3b2b837dcdcc0",Article,"Final","",Scopus,2-s2.0-33644985375
"Clarke, J.D.","55364487600;","Antiquity of aridity in the Chilean Atacama Desert",2006,"Geomorphology","73","1-2",,"101","114",,180,"10.1016/j.entcs.2005.12.035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-29644448060&doi=10.1016%2fj.entcs.2005.12.035&partnerID=40&md5=cfd3f798e810ffb8fa6becc965121db3",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-29644448060
"Harrison, K.P., Grimm, R.E.","7202397901;57200304476;","Groundwater-controlled valley networks and the decline of surface runoff on early Mars",2005,"Journal of Geophysical Research E: Planets","110","12","E12S16","1","17",,82,"10.1029/2005JE002455","https://www.scopus.com/inward/record.uri?eid=2-s2.0-31844436896&doi=10.1029%2f2005JE002455&partnerID=40&md5=cc6d84d440bb62d488e4d554a9f4f8a4",Article,"Final","All Open Access, Green",Scopus,2-s2.0-31844436896
"Wettergreen, D., Cabrol, N., Baskaran, V., Calderón, F., Heys, S., Jonak, D., Lüders, A., Pane, D., Smith, T., Teza, J., Tompkins, P., Villa, D., Williams, C., Wagner, M.","6701392772;8941957900;9747777900;57197668315;9745600200;9744627300;9747518600;7801385590;9746727600;6603197390;14066880400;57198265089;57199277774;7404048975;","Second experiments in the robotic investigation of life in the Atacama Desert of Chile",2005,"European Space Agency, (Special Publication) ESA SP",,"603",,"233","240",,35,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-28744450137&partnerID=40&md5=fc572ab327b51d33c0067f9b6988120b",Article,"Final","",Scopus,2-s2.0-28744450137
