"Lehr, E., Catenazzi, A.","7003323573;57197741395;","Two new species of bryophryne (Anura: Strabomantidae) from high elevations in Southern Peru (Region of Cusco)",2010,"Herpetologica","66","3",,"308","319",,16,"10.1655/09-038.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956026484&doi=10.1655%2f09-038.1&partnerID=40&md5=434e16c3756a5ed3745a99cf48e9a260",Article,"Final","",Scopus,2-s2.0-77956026484
"Valencia, B.G., Urrego, D.H., Silman, M.R., Bush, M.B.","25222135800;10639674700;6602205640;55951088700;","From ice age to modern: A record of landscape change in an Andean cloud forest",2010,"Journal of Biogeography","37","9",,"1637","1647",,52,"10.1111/j.1365-2699.2010.02318.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955597973&doi=10.1111%2fj.1365-2699.2010.02318.x&partnerID=40&md5=9f8c62eb3faa12dc802ac2baca3a892a",Article,"Final","",Scopus,2-s2.0-77955597973
"Haug, E.W., Kraal, E.R., Sewall, J.O., Van Dijk, M., Diaz, G.C.","36243497600;8371312500;6602840494;57197424642;7201671416;","Climatic and geomorphic interactions on alluvial fans in the Atacama Desert, Chile",2010,"Geomorphology","121","3-4",,"184","196",,14,"10.1016/j.geomorph.2010.04.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954761258&doi=10.1016%2fj.geomorph.2010.04.005&partnerID=40&md5=2629446e8992c95d7b912479fddc9ec9",Article,"Final","All Open Access, Green",Scopus,2-s2.0-77954761258
"Lau, G.F.","8417048800;","House forms and Recuay culture: Residential compounds at Yayno (Ancash, Peru), a fortified hilltop town, AD 400-800",2010,"Journal of Anthropological Archaeology","29","3",,"327","351",,19,"10.1016/j.jaa.2010.04.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954757171&doi=10.1016%2fj.jaa.2010.04.003&partnerID=40&md5=2d25b1e73f1c20e26b6c283f5ad19199",Article,"Final","",Scopus,2-s2.0-77954757171
"Gibbon, A., Silman, M.R., Malhi, Y., Fisher, J.B., Meir, P., Zimmermann, M., Dargie, G.C., Farfan, W.R., Garcia, K.C.","35767679900;6602205640;7004035832;7404016992;6602529747;55896917400;35767339900;55857096100;35767749800;","Ecosystem Carbon Storage Across the Grassland-Forest Transition in the High Andes of Manu National Park, Peru",2010,"Ecosystems","13","7",,"1097","1111",,70,"10.1007/s10021-010-9376-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957754746&doi=10.1007%2fs10021-010-9376-8&partnerID=40&md5=e2ad42c52d8edeef515ed67b8b953670",Article,"Final","",Scopus,2-s2.0-77957754746
"Seth, A., Thibeault, J., Garcia, M., Valdivia, C.","7103146552;36009516200;55464718700;6701904068;","Making sense of twenty-first-century climate change in the Altiplano: Observed trends and CMIP3 projections",2010,"Annals of the Association of American Geographers","100","4",,"835","847",,29,"10.1080/00045608.2010.500193","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956764751&doi=10.1080%2f00045608.2010.500193&partnerID=40&md5=6c2aed62d35814da265eccd6c5608289",Article,"Final","",Scopus,2-s2.0-77956764751
"Valdivia, C., Seth, A., Gilles, J.L., García, M., Jiménez, E., Cusicanqui, J., Navia, F., Yucra, E.","6701904068;7103146552;7005416851;55464718700;35725740100;23097096400;36487076100;23986916200;","Adapting to climate change in Andean ecosystems: Landscapes, capitals, and perceptions shaping rural livelihood strategies and linking knowledge systems",2010,"Annals of the Association of American Geographers","100","4",,"818","834",,119,"10.1080/00045608.2010.500198","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956715480&doi=10.1080%2f00045608.2010.500198&partnerID=40&md5=d288c391d2559faa71049af9d589d491",Article,"Final","",Scopus,2-s2.0-77956715480
"Malcherek, T., Schlüter, J.","55884870700;7004649130;","Anatacamite from La Vendida mine, Sierra Gorda, Atacama desert, Chile: A triclinic polymorph of Cu2(OH)3CI",2010,"Neues Jahrbuch fur Mineralogie, Abhandlungen","187","3",,"307","312",,7,"10.1127/0077-7757/2010/0180","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649618980&doi=10.1127%2f0077-7757%2f2010%2f0180&partnerID=40&md5=99a5af19635c44473df0a841b59845ad",Article,"Final","",Scopus,2-s2.0-78649618980
"Edgington, S., Buddie, A.G., Moore, D., France, A., Merino, L., Tymo, L.M., Hunt, D.J.","57206446584;6602672005;55251371100;22133922000;23135318800;33568468500;7402464305;","Diversity and distribution of entomopathogenic nematodes in Chile",2010,"Nematology","12","6",,"915","928",,18,"10.1163/138855410X498897","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78149306470&doi=10.1163%2f138855410X498897&partnerID=40&md5=2149c3f4b4f8021b88de751d6caf35d2",Article,"Final","",Scopus,2-s2.0-78149306470
"Di Gregorio, B.","36570288100;","Looking for life on mars",2010,"Chemical Engineer",,"832",,"32","34",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958084238&partnerID=40&md5=dbe8e9543c2734cc6740969896e5a929",Article,"Final","",Scopus,2-s2.0-77958084238
"Jordan, T.E., Nester, P.L., Blanco, N., Hoke, G.D., Dávila, F., Tomlinson, A.J.","7202381241;6507620314;23099464100;7003530133;6603700705;7101953404;","Uplift of the Altiplano-Puna plateau: A view from the west",2010,"Tectonics","29","5","TC5007","","",,109,"10.1029/2010TC002661","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957570728&doi=10.1029%2f2010TC002661&partnerID=40&md5=3f8efe098fd386744d37b80647daa810",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-77957570728
"Rieger, A.A., Marschik, R., Díaz, M., Hölzl, S., Chiaradia, M., Akker, B., Spangenberg, J.E.","24476696400;6603162051;37057021900;6508009916;7003564558;37057161500;7006219454;","The hypogene iron oxide copper-gold mineralization in the Mantoverde district, northern Chile",2010,"Economic Geology","105","7",,"1271","1299",,41,"10.2113/econgeo.105.7.1271","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952374044&doi=10.2113%2fecongeo.105.7.1271&partnerID=40&md5=de3d9f69f2fc033eadb3f58fa50a66e4",Article,"Final","",Scopus,2-s2.0-79952374044
"Van Den Bergh, K., Du Laing, G., Montoya, J.C., De Deckere, E., Tack, F.M.G.","37008825800;8448278200;37008640500;7004243544;7005864023;","Arsenic in drinking water wells on the Bolivian high plain: Field monitoring and effect of salinity on removal efficiency of iron-oxides- containing filters",2010,"Journal of Environmental Science and Health - Part A Toxic/Hazardous Substances and Environmental Engineering","45","13",,"1741","1749",,19,"10.1080/10934529.2010.513262","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952277345&doi=10.1080%2f10934529.2010.513262&partnerID=40&md5=370d669abf9dfe4711c464797e9157d2",Article,"Final","All Open Access, Green",Scopus,2-s2.0-79952277345
"Moraga, A.C.","36337772000;","A sacred mountain and the art of ""impression management"": Analyzing a mining company's encounter with indigenous communities in Atacama, Chile",2010,"Mountain Research and Development","30","4",,"391","397",,7,"10.1659/MRD-JOURNAL-D-09-00065.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649495047&doi=10.1659%2fMRD-JOURNAL-D-09-00065.1&partnerID=40&md5=8b894be50faff616c99786f027a085ba",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-78649495047
"Fugal, R.A., Anderson, V.J., Roundy, B.","36456893900;7202558435;7003475354;","Exotic grass and shrub production evaluation and llama preference on the Bolivian Altiplano",2010,"Small Ruminant Research","94","1-3",,"150","160",,4,"10.1016/j.smallrumres.2010.07.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049424447&doi=10.1016%2fj.smallrumres.2010.07.019&partnerID=40&md5=dfb5c1089f60f361ae454e59b1d4f614",Article,"Final","",Scopus,2-s2.0-78049424447
"Bissig, T., Riquelme, R.","6603249897;56228802300;","Andean uplift and climate evolution in the southern Atacama Desert deduced from geomorphology and supergene alunite-group minerals",2010,"Earth and Planetary Science Letters","299","3-4",,"447","457",,28,"10.1016/j.epsl.2010.09.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049294685&doi=10.1016%2fj.epsl.2010.09.028&partnerID=40&md5=44ad533ec96a20ff302feffbabc82fd3",Article,"Final","",Scopus,2-s2.0-78049294685
