Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Mareš, M., Rajković, D.","57411612100;57201942198;","Wilson's Phalarope Phalaropus tricolor-a new species for avifauna of Serbia",2020,"Acrocephalus","41","184-185",,"31","32",,,"10.2478/acro-2020-0003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122827102&doi=10.2478%2facro-2020-0003&partnerID=40&md5=1e71a3470ac126a25c95cc1a501c0683",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85122827102
"Vilá, B., Arzamendia, Y., Rojo, V.","7004905090;14719172900;57196403889;","Environmental Education as a Means for Valuing and Conserving Camelids and Pastoralism in the Argentinean Altiplano of Jujuy",2020,"Mountain Research and Development","40","4",,"D39","D49",,1,"10.1659/MRD-JOURNAL-D-20-00009.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106760887&doi=10.1659%2fMRD-JOURNAL-D-20-00009.1&partnerID=40&md5=3f84cc68748f86c21c535fe46651875d",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85106760887
"Del Real, I., Thompson, J.F.H., Simon, A.C., Reich, M.","55521399700;23074978600;8062496600;35389550600;","Geochemical and isotopic signature of pyrite as a proxy for fluid source and evolution in the Candelaria-Punta del Cobre iron oxide copper-gold District, Chile",2020,"Economic Geology","115","7",,"1493","1517",,9,"10.5382/ECONGEO.4765","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102497880&doi=10.5382%2fECONGEO.4765&partnerID=40&md5=613ec9dc603ed9e04df7fa4464d9e9c2",Article,"Final","",Scopus,2-s2.0-85102497880
"Barros, R., Medrano, F., Silva, R., Schmitt, F., Malinarich, V., Terán, D., Peredo, R., Pinto, C., Vallverdú, A., Fuchs, J., Norambuena, H.V.","56107420500;57200548117;57202862151;57201794884;57201002060;57219144490;56880132800;57221054340;57221045394;12784024800;55243689600;","Breeding Sites, Distribution and Conservation Status of the White-Vented Storm-Petrel Oceanites gracilis in the Atacama Desert",2020,"Ardea","108","2",,"203","212",,2,"10.5253/arde.v108i2.a7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098089771&doi=10.5253%2farde.v108i2.a7&partnerID=40&md5=18ff877749b1c13de06455ed233082b5",Article,"Final","",Scopus,2-s2.0-85098089771
"Ugalde, P.C., Quade, J., Santoro, C.M., Holliday, V.T.","37027277200;16194835700;7004920399;6603768395;","Processes of Paleoindian site and desert pavement formation in the Atacama Desert, Chile",2020,"Quaternary Research (United States)","98",,,"58","80",,3,"10.1017/qua.2020.39","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096356322&doi=10.1017%2fqua.2020.39&partnerID=40&md5=ca325c14948424fd3c94b660d7cd73fd",Article,"Final","",Scopus,2-s2.0-85096356322
"Mendoza, E.O., Custodio, M., Ascensión, J., Bastos, M.C.","57211405066;57203745810;57219936280;57216807337;","Heavy Metals in Soils from High Andean Zones and Potential Ecological Risk Assessment in Peru's Central Andes",2020,"Journal of Ecological Engineering","21","8",,"108","119",,5,"10.12911/22998993/127094","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096158799&doi=10.12911%2f22998993%2f127094&partnerID=40&md5=0e109cd2d7c714b01f059ead45a8d1af",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85096158799
"Bougeault, C., Durlet, C., Vennin, E., Muller, E., Ader, M., Ghaleb, B., Gerard, E., Virgone, A., Gaucher, E.C.","57203487788;6603208587;6604070066;55456304000;56207793100;6603788788;8729288400;6506928230;7003419213;","Variability of carbonate isotope signatures in a hydrothermally influenced system: Insights from the Pastos Grandes caldera (Bolivia)",2020,"Minerals","10","11","989","1","25",,2,"10.3390/min10110989","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095953982&doi=10.3390%2fmin10110989&partnerID=40&md5=1de6a6b7a6b344a50064db86ad23d673",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85095953982
"Sep lveda, G., Arismendi-Macuer, M., C rdenas-Ninasivincha, S., Huanca-Mamani, W., Latorre, B.A.","57219905701;57219900791;57219905026;6507340858;6603856270;","Occurrence of Onion Smut Caused by Urocystis magica in Chile",2020,"Plant Disease","104","11",,"3060","",,1,"10.1094/PDIS-04-20-0847-PDN","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094872869&doi=10.1094%2fPDIS-04-20-0847-PDN&partnerID=40&md5=3ed79a82a7ad16c36db549fb1f7e424a",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85094872869
"Marín, C., Rodríguez, I., Godoy, B., González-Maurel, O., Le Roux, P., Medina, E., Bertín, D.","57208544568;56830086400;55498267000;57194426186;57217016796;7103177295;56830247300;","Eruptive history of La Poruña scoria cone, Central Andes, Northern Chile",2020,"Bulletin of Volcanology","82","11","74","","",,2,"10.1007/s00445-020-01410-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094185870&doi=10.1007%2fs00445-020-01410-7&partnerID=40&md5=4450058179a6edc21ba85096f78c12b5",Article,"Final","",Scopus,2-s2.0-85094185870
"Stalder, N.F., Herman, F., Fellin, M.G., Coutand, I., Aguilar, G., Reiners, P.W., Fox, M.","56461246500;24759000200;8523841500;6507426789;36624833300;7004078010;55274373000;","The relationships between tectonics, climate and exhumation in the Central Andes (18–36°S): Evidence from low-temperature thermochronology",2020,"Earth-Science Reviews","210",,"103276","","",,10,"10.1016/j.earscirev.2020.103276","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092916506&doi=10.1016%2fj.earscirev.2020.103276&partnerID=40&md5=a9df4ba099c53d9ef93ca27c32a3892d",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85092916506
"Martin, L.C.P., Blard, P.-H., Lavé, J., Jomelli, V., Charreau, J., Condom, T., Lupker, M., Arnold, M., Aumaître, G., Bourlès, D.L., Keddadouche, K.","56066416400;35241711000;7004308491;55881361500;12792552000;6506678027;34868423400;7402911003;23491271100;7004693622;24066670700;","Antarctic-like temperature variations in the Tropical Andes recorded by glaciers and lakes during the last deglaciation",2020,"Quaternary Science Reviews","247",,"106542","","",,6,"10.1016/j.quascirev.2020.106542","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092049092&doi=10.1016%2fj.quascirev.2020.106542&partnerID=40&md5=833b70d9a662246486d37064f3d5d03c",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85092049092
"Firpo Lacoste, F., Andreoli Bize, J., Fernández, L.","57219218320;57219218184;22957281800;","First record sheds light on the distribution of the cyprinodontiform genus Jenynsia (Günther, 1866) in the High Andean Plateau",2020,"Journal of Fish Biology","97","5",,"1590","1594",,1,"10.1111/jfb.14525","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091730860&doi=10.1111%2fjfb.14525&partnerID=40&md5=55dba8c8201bf36630b4b897898ba55e",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85091730860
"Torres-Batlló, J., Martí-Cardona, B.","57214993148;16402742600;","Precipitation trends over the southern Andean Altiplano from 1981 to 2018",2020,"Journal of Hydrology","590",,"125485","","",,7,"10.1016/j.jhydrol.2020.125485","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091336549&doi=10.1016%2fj.jhydrol.2020.125485&partnerID=40&md5=55b3f84e0c9766427f4014c686ce8a8f",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85091336549
"Behar, O., Sbarbaro, D., Marzo, A., Gonzalez, M.T., Vidal, E.F., Moran, L.","42860975700;7003572137;36704736200;57205266472;57214796214;57189078954;","Retraction notice to “Critical analysis and performance comparison of thirty-eight (38) clear-sky direct irradiance models under the climate of Chilean Atacama Desert” [Renew. Energy 153 (2020) 49–60] (Renewable Energy (2020) 153 (49–60), (S0960148119311930), (10.1016/j.renene.2019.08.006))",2020,"Renewable Energy","160",,,"1493","",,,"10.1016/j.renene.2020.06.119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090906092&doi=10.1016%2fj.renene.2020.06.119&partnerID=40&md5=38eb537529808feb1b7040faa9af47a0",Erratum,"Final","",Scopus,2-s2.0-85090906092
"Garcia-Cegarra, A.M., Ramirez, R., Orrego, R.","54393044100;57218908187;8956698600;","Red-legged cormorant uses plastic as nest material in an artificial breeding colony of Atacama Desert coast",2020,"Marine Pollution Bulletin","160",,"111632","","",,9,"10.1016/j.marpolbul.2020.111632","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090715853&doi=10.1016%2fj.marpolbul.2020.111632&partnerID=40&md5=71588c5d234f2b023fc9426afb488563",Article,"Final","",Scopus,2-s2.0-85090715853
"Henríquez, S., DeCelles, P.G., Carrapa, B., Hughes, A.N., Davis, G.H., Alvarado, P.","57190195293;7003358645;6506156162;26637691000;55351676800;14321133500;","Deformation history of the Puna plateau, Central Andes of northwestern Argentina",2020,"Journal of Structural Geology","140",,"104133","","",,,"10.1016/j.jsg.2020.104133","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089895367&doi=10.1016%2fj.jsg.2020.104133&partnerID=40&md5=c2fbcc799b4afbba74ae1d433a787f99",Article,"Final","",Scopus,2-s2.0-85089895367
"Shen, J., Smith, A.C., Claire, M.W., Zerkle, A.L.","57217583202;55516291200;8691333500;12244468800;","Unraveling biogeochemical phosphorus dynamics in hyperarid Mars-analogue soils using stable oxygen isotopes in phosphate",2020,"Geobiology","18","6",,"760","779",,6,"10.1111/gbi.12408","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089573257&doi=10.1111%2fgbi.12408&partnerID=40&md5=256c4a1e4db03099ad3f341b72499252",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85089573257
"Zimicz, A.N., Fernández, M., Bond, M., Chornogubsky, L., Arnal, M., Cárdenas, M., Fernicola, J.C.","24780215300;57192979247;7202608740;24729404100;46061038500;57200389991;6506716402;","Archaeogaia macachaae gen. et sp. nov., one of the oldest Notoungulata Roth, 1903 from the early-middle Paleocene Mealla Formation (Central Andes, Argentina) with insights into the Paleocene-Eocene south American biochronology",2020,"Journal of South American Earth Sciences","103",,"102772","","",,5,"10.1016/j.jsames.2020.102772","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089512229&doi=10.1016%2fj.jsames.2020.102772&partnerID=40&md5=0ccb027b2d3b13829ed28ae0581a4f0d",Article,"Final","",Scopus,2-s2.0-85089512229
